English ,Czech,Deutsch,Spanish,French,Italian,Polish,Portuguese,Russian,Turkish,Chinese,
 MV, MV,MV,MV,Électrovanne principale,MV,MV,MV,Гл. клапан,MV,主阀,
Number Of Reported Devices ,Počet nahlášených zařízení ,Anzahl der erfassten Geräte,Número de dispositivos reportados,Nombre de dispositifs signalés,Numero di dispositivi segnalati,Liczba zgłoszonych urządzeń,Número de dispositivos relatados,Кол-во заявленных устройств,Raporlanan Cihaz Sayısı,报告的设备数量,
Generating report Please wait ...,"Generuji zprávu, prosím, počkejte...",Bericht wird generiert. Bitte warten ...,"Generando informe. Por favor, espere...",Génération du rapport en cours. Veuillez patienter.,Generazione report in corso. Attendere...,Generowanie raportu. Proszę czekać...,Gerando relatório. Aguarde...,"Отчет формируется. Пожалуйста, подождите...",Rapor oluşturuluyor Lütfen bekleyin...,正在生成报告 请稍候...,
Operation Commands ,Operační příkazy ,Steuerbefehle,Comandos de operación,Commandes d'utilisation,Comandi operativi,Polecenia operacyjne,Comandos de operação,Команды управления,Operasyon Komutları,操作指令,
Manual Operation  ,Manuální ovládání  ,Manueller Betrieb,Funcionamiento manual,Utilisation manuelle,Funzionamento manuale,Tryb obsługi ręcznej,Operação manual,Ручной режим,Manuel Çalıştırma,手动运行,
Actions,Akce,Aktionen,Acciones,Actions,Azioni,Czynności,Ações,Действия,İşlemler,操作,
Seasonal adjust,Sezón. nast.,Sais. Anp.,Ajuste est.,Adj. saison.,Reg. stag.,Dostos. sez.,Ajuste saz.,Сезон. кор.,Mevs. ayar.,季节性调整,
Start  Events,Spustit jednu událost,Einzelnes Ereignis starten,iniciar un evento único,démarrer un événement unique,iniziare un singolo evento,Uruchom pojedyncze zdarzenie,iniciar evento único,Запуск одной операции,tek etkinliği başlat,启动单个事件,
block,blok,Block,bloque,Bloc,Blocco,blok,bloco,блок,blok,站点组,
PMV,PMV,PMV,B/VM,PMV,PMV,PMV,PMV,P MV,PMV,PMV,
Device Number,Číslo zařízení,Gerätenummer,Número del dispositivo,Numéro de l'appareil,Numero dispositivo,Numer urządzenia,Número do dispositivo,Номер устройства,Cihaz Numarası,设备编号,
Min,Min,Min,Min,Min,Min,Min,Mín,мин,Min,分,
Run Time  ,Délka zavlažování  ,Laufzeit,Tiempo de riego,Durée d’arrosage,Tempo di irrigazione,Czas pracy,Tempo de rega,Время работы,Çalışma Süresi,运行时间,
Start Multiple Events,Spust. více udál.,Mehr. Ereign. start.,Inic. múlt. evnt.,Dém. mult. évnt.,Avv. mult. eventi,Uruch. wiele zdar.,Inic. múlt. evnt.,Зап. неск. соб.,Çoklu olay başl.,开始多个事件 开始,
Start Program,Spustit program,Programm starten,Iniciar Prg,Démarrer le programme,Avvia programma,Włącz program,Iniciar programa,Start Program («Запустить программу»),Programı Başlat,启动程序,
Program Number:,Číslo programu ,Programm Nummer,Número de programa,Numéro du programme,Numero del programma,Numer programu,Número do programa,Номер программы,Program Numarası,程序编号,
Start From,Začít od,Beginnen ab,Empezar desde,À partir de,Iniziare da,Zacznij od,Começar de,Начать с,Başla'dan,从开始,
Beginning,Začátek,Beginn,Comienzo,Début,Inizio,Początek,Início,Начало,Başlangıç,开始,
Specific Event,Konkrétní událost,Spezifisches Ereignis,Evento específico,Événement spécifique,Evento specifico,Specyficzne wydarzenie,Evento específico,Конкретная операция,Özel Etkinlik,特定事件,
Start,Start,Start,Iniciar,Démarrer,Avvia,Rozpocznij,Iniciar,ЗАПУСК,Başlat,开始,
Stop,Stop,Stop,Detener,Arrêter,Stop,Stop,Parar,Останов,Durdur,停止,
Stop Program Number  ,Zastavit číslo programu  ,Stopp Programm Nummer,Número de paradas de programa,Numéro d'arrêt de programme,Ferma il programma numero,Wstrzymaj program numer,Número para interromper o programa,Остановить программу №,Program Numarasını Durdur,停止程序编号,
Stop Blocks,Zastavit bloky,Blöcke stoppen,Detener bloques,Arrêter les blocs,Ferma Blocchi,Wstrzymaj blok,Interromper blocos,Остановить блоки,Blokları Durdur,停止站点组,
Block Number  ,Číslo bloku  ,Block Nummer,Número de bloque,Numéro de bloc,Blocco numero,Numer bloku,Número do bloco,Номер блока,Blok Numarası,站点组编号,
Stop Stations,Zastavit stanice,Stationen beenden,Detener estaciones,Arrêter les stations,Arrestare le stazioni,Wstrzymaj sekcje,Interromper setores,Остановить работу станций,İstasyonları Durdur,停止站点,
Station Number ,Název stanice ,Stationsnummer,Número de estación,Numéro de la station,Numero stazione,Numer sekcji,Número da estação,Номер зоны,İstasyon Numarası,站点编号,
Actions,Akce,Aktionen,Acciones,Actions,Azioni,Czynności,Ações,Действия,İşlemler,操作,
Actions,Akce,Aktionen,Acciones,Actions,Azioni,Czynności,Ações,Действия,İşlemler,操作,
Set Days Off  ,Nastavení dnů bez závlahy  ,Tage ohne Bewässerung festlegen,Configurar días sin riego,Définir les jours sans arrosage,Imposta giorni di inattività,Ustaw dni bez nawadniania,Configurar dias sem rega,Задать дни отключения,Kapalı Günleri Ayarlayın,设置关闭天数,
Days,Dny,Tage,días,jours,giorni,Dni,dias,дней,gün,天数,
Apply,Použití ,Anwd.,Apl.,Appl.,Appl.,Zast.,Apl.,Прим.,Uygula,应用,
Shutdown,Vypnout,Abschalten,Apagado,Éteindre,Arresto,Wyłączenie,Desligamento,Выключение,Kapat,关闭,
Auto,Auto,Automatisch,Auto,Auto,Auto,Automat.,Aut.,Авт.,Otomatik,自动,
Stop Irrigation,Zast. zavl.,Bewäs. stop,Det. riego,Arrêt irr.,Arresta irr.,Stop naw.,Parar irrig.,Стоп полив,Sulama dur.,停止灌溉,
Suspend Irrigation,Poz. zavl.,Bewäs. paus.,Susp. riego,Susp. irr.,Sosp. irr.,Wstrz. naw.,Susp. irrig.,Приост. ор.,Sul. askıya,中断灌溉,
Cancel Suspend ,Zrušit pozastavení ,Aussetzen aufheben,Cancelar Suspender,Annuler la suspension,Annullare la sospensione,Anuluj zawieszenie,Cancelar a suspensão,Отменить приостановку,Askıya Almayı İptal Et,取消中断,
Pause Mode,Režim pauzy,Pausenmodus,modo de pausa,mode veille,Modalità Pausa,Tryb wstrzymania,Modo de pausa,Режим паузы,Duraklatma Modu,暂停模式,
Cancel Pause ,Zrušit pauzu ,Pause aufheben,Cancelar Pausar,Annuler la pause,Annulla pausa,Anuluj wstrzymanie,Cancelar pausa,Отменить паузу,Duraklatmayı İptal Et,取消暂停,
Seasonal Adjust,Sezón. nast.,Sais. Anp.,Ajuste est.,Adj. saison.,Reg. stag.,Dostos. sez.,Ajuste saz.,Сезон. кор.,Mevs. ayar.,季节性调整,
Seasonal Adjustment,Sezónní nastavení,Saisonale Anpassung,Ajuste estacional,Le réglage saisonnier,Regolazione stagionale,Seasonal Adjustment (Korekta sezonowa),Regulação sazonal,Сезонное регулирование,Mevsimsel Ayar,季节性调整,
Global,Globální  ,Global,Global,Global,Globale,Globalny,Global,Глобальные,Küresel,全局,
Trend,Trend,Trend,Tendencia,Tendance,Tendenza,Tendencja,Tendência,Тенденция,Trend,趋势,
Monthly Seasonal Adjustment,Měsíční sezónní nastavení,Monatliche saisonale Anpassung,Ajuste estacional mensual,Réglage saisonnier mensuel,Regolazione stagionale mensile,Miesięczna korekta sezonowa,Regulação sazonal mensal,Сезонная корректировка по месяцам,Aylık Mevsimsel Ayar,每月季节性调整,
Jan  ,Led  ,Jan,Ene,Jan,Gen,Sty,Jan,Янв,Oca,一月,
Feb ,Úno ,Feb,Feb,Fév,Feb,Lut,Fev,Фев,Şub,二月,
Mar  ,Bře  ,März,Mar,Mar,Mar,Mar,Mar,Мар,Mar,三月,
Apr ,Dub ,Apr,Abr,Avr,Apr,Kwi,Abr,Апр,Nis,四月,
May  ,Kvě  ,Mai,May,Mai,Maggio,Maj,Mai,Май,May,五月,
Jun ,Čen ,Juni,Jun,Jun,Giugno,Cze,Jun,Июн,Haz,六月,
Jul  ,Čec  ,Juli,Jul,Jul,Lug,Lip,Jul,Июл,Tem,七月,
Aug ,Srp ,Aug,Ago,Aoû,Ago,Sie,Ago,Авг,Ağu,八月,
Sep  ,Zář  ,Sep,Sep,Sep,Set,Wrz,Set,Сен,Eyl,九月,
Oct ,Říj ,Okt,Oct,Oct,Ott,Paź,Out,Окт,Eki,十月,
Nov  ,Lis  ,Nov,Nov,Nov,Nov,Lis,Nov,Ноя,Kas,十一月,
Dec  ,Pro  ,Dez,Dic,Déc,Dic,Gru,Dez,Дек,Ara,十二月,
Cancel,Zrušit,Abbr.,Canc.,Annul.,Annull.,Anul.,Canc.,Отм.,İptal,取消,
Set,Nastavit,Einstellen,Configurar,Régler,Imposta,Ustaw,Configurar,Задать,Ayarla,设置,
Edit,Upravit,Bearbeiten,Editar,Modifier,Modifica,Edytuj,Editar,Редактировать,Düzenle,编辑,
Operation Status,Stav provozu,Betriebsstatus,Estado de la operación,État de fonctionnement,Stato dell'operazione,Status działania,Status da operação,Рабочее состояние,Çalışma Durumu,操作状态,
Total Active :,Celkem aktivní :,Insgesamt aktiv :,Total activo :,Total actif :,Totale attive :,Łącznie Aktywne :,Total ativo :,Всего акт. :,Toplam Aktif :,总激活数 :,
Flow Zones   ,Zóny průt.,Flusszonen,Zonas flujo,Zones débit,Zone flusso,Strefy przep.,Zonas fluxo,Зоны потока,Akış bölg.,流量分区,
Master Valves ,Hlavní ventily ,Hauptventile,Válvulas maestras,Électrovannes principales,Master Valves,Zawory główne,Válvulas mestres,Главные клапаны,Ana Vanalar,主阀,
Stations,Jednotky ,Stationen,Estaciones,Stations,Stazioni,Sekcje,Estações,Метеостанции,İstasyonlar,站点,
Irrigation schedule,Zavlažovací plán,Bewässerungszeitplan,Programa de riego,Programme d'arrosage,Programma di Irrigazione,Harmonogram Nawadniania,Cronograma de Irrigação,График полива,Sulama programı,灌溉计划,
Program Number       ,Číslo programu       ,Programm Nummer,Número de programa,Numéro du programme,Numero del programma,Numer programu,Número do programa,Номер программы,Program Numarası,程序编号,
Get,Získat,Abrufen,Obtener,Obtenir,Ottieni,Odbierz,Obter,Получить,Al,获取,
Mode,Režim,Modus,Modo,Mode,Modo,Tryb,Modo,Режим,Mod,模式,
Days of Week,Dny v týdnu,Wochentage,Días semana,Jours semaine,Giorni settimana,Dni tygodnia,Dias da semana,Дни недели,Hafta günleri,工作日,
Num Of Programs,Číslo,Nummer,Número,Nombre,Numero,Liczba,Número,Количество,Sayı,数量,
Generate report,Vytvořit zprávu,Bericht erstellen,Generar informe,Générer le rapport,Generare il report,Wygeneruj raport,Gerar relatório,Составить отчет,Rapor oluştur,生成报告,
Seasonal Adjust Mode:,Sezónní nastavení,Saisonale Anpassung,Ajuste estacional,Ajustement saisonnier,Regolazione stagionale,Korekta sezonowa,Ajuste sazonal,Сезонная регулировка,Mevsimsel Ayar,季节性调整,
Mode:,Režim,Modus,Modo,Mode,Modo,Tryb,Modo,Режим,Mod,模式,
Global,Globální,Global,Global,Global,Globale,Globalny,Global,Глобальные,Küresel,全局,
Water Days:, Dny závlahy,Bewäs. Tg.,Días riego,Jours irr.,Giorni irr.,Dni naw.,Dias irr.,Дни полива,Sul. günleri,灌溉日,
Mon,Po ,MO,LUN,LUN,LUN,Pn,SEG,Пн,Pzt,周一,
Tue,Út ,DI,MAR,MAR,MAR,Wt,TER,Вт,Sal,周二,
Wed,St ,MI,MIÉ,MER,MER,Śr,QUA,Ср,Çar,周三,
Thu,Čt ,DO,JUE,JEU,GIO,Cz,QUI,Чт,Per,周四,
Fri,Pá ,FR,VIE,VEN,VEN,Pt,SEX,Пт,Cum,周五,
Sat,So ,SA,SÁB,Sam,SAB,So,Sáb,Сб,Cts,周六,
Sun,Ne,SO,DOM,DIM,DOM,Nd,DOM,Вс,Paz,周日,
Ignore Calendar Days Off:,Ignorovat dny bez závlah ,Passive Tage ignorieren,Ignorar días de no riego,Ignorer les jours off,Ignora giorni calendario Off,Ignoruj Dni Wolne w Kalendarzu:,Ignorar dias sem irrigação,Игнор. календ.,Kapalı Olan Günleri Yoksay,忽略日历关闭天数,
Enabled,Povoleno,Aktiviert,Habilitar,Activé,Abilitato,Aktywny,Ativado,Включено,Etkin,已开启,
Program     ,Program     ,Progr.,Progra.,Prog.,Progr.,Program,Progr.,Прогр.,Program,程序,
Mode,Režim,Modus,Modo,Mode,Modo,Tryb,Modo,Режим,Mod,模式,
Auto, Auto,Automatisch,Auto,Auto,Auto,Automat.,Aut.,Авт.,Otomatik,自动,
Manual,Manuál,Manuell,Manual,Manuel,Manuale,Ręczny,Manual,Ручной,Manuel,手动,
Start Times,Startovací časy ,Startzeiten,Horas de inicio,Heures de début,Tempi di avvio,Czas startu,Horários de início,Время запуска полива,Başlangıç Zamanları,启动次数,
Stack or Overlap:,Spojování /  Překrytí,Stapeln / Überschneiden,Secuenc. / Solapar,Décalage / Chevauchement,Accodamento / Sovrapposizione,Spiętrzaj / Nakładaj,Pilha / Sobreposição,Стек/Нахл.,Küme / Örtüşme,堆叠 / 重叠,
 Overlap, Překrytí,Überlappen,Solapar,Superposer,Sovrapporre,Nakładaj,Sobrepor,Наложение,Örtüşme,重叠,
No Water Window :,Žádná závlaha,Kein Bewässerung,Sin riego,Sans arrosage,Senza irrigazione,Brak nawadniania,Sem irrigação,Нет полива,Sulama yok,非灌水时间窗口:,
Not Set ,Není nastaveno ,Nicht eingestellt,No establecido,Non paramétré,Non impostato,Nie ustawiono,Não definido,Не настроено,Ayarlanmadı,未设置,
To,Na,ZU,A,À,A,Do,Para,К,Kime:,至,
Station Delay:,Pauza mezi sekcemi  ,Stationsverzögerung,Retardo de estación,Retard de la station,Ritardo stazione,Opóźnienie sekcji,Espera da estação,Задерж. ст.,İstasyon Gecikmesi,站点延迟,
(HH :MM :SS)   ,(HH :MM :SS)   ,(HH :MM :SS)   ,(HH :MM :SS)   ,(HH :MM :SS)   ,(HH :MM :SS)   ,(HH :MM :SS)   ,(HH :MM :SS)   ,(ЧЧ :ММ :СС),(SS :DD :SS),（时 :分 :秒）,
HH,HH,HH,HH,HH,HH,HH,HH,ЧЧ,SS ,时 ,
MM,MM,MM,MM,MM,MM,MM,MM,MM,DD,分,
SS,SS,SS,SS,SS,SS,SS,SS,СС,SS,秒,
Start Time 1,Startovací čas  1,Startzeit 1,Hora de arranque 1,Heure de début 1,Orario di partenza 1,Czas startu 1,Horário de início 1,Время запуска 1,Başlangıç Zamanı 1,启动时间 1,
Start Time 2,Startovací čas  2,Startzeit 2,Hora de arranque 2,Heure de début 2,Orario di partenza 2,Czas startu 2,Horário de início 2,Время запуска 2,Başlangıç Zamanı 2,启动时间 2,
Start Time 3,Startovací čas  3,Startzeit 3,Hora de arranque 3,Heure de début 3,Orario di partenza 3,Czas startu 3,Horário de início 3,Время запуска 3,Başlangıç Zamanı 3,启动时间 3,
Start Time 4,Startovací čas  4,Startzeit 4,Hora de arranque 4,Heure de début 4,Orario di partenza 4,Czas startu 4,Horário de início 4,Время запуска 4,Başlangıç Zamanı 4,启动时间 4,
Start Time 5,Startovací čas  5,Startzeit 5,Hora de arranque 5,Heure de début 5,Orario di partenza 5,Czas startu 5,Horário de início 5,Время запуска 5,Başlangıç Zamanı 5,启动时间 5,
Start Time 6,Startovací čas  6,Startzeit 6,Hora de arranque 6,Heure de début 6,Orario di partenza 6,Czas startu 6,Horário de início 6,Время запуска 6,Başlangıç Zamanı 6,启动时间 6,
Start Time 7,Startovací čas  7,Startzeit 7,Hora de arranque 7,Heure de début 7,Orario di partenza 7,Czas startu 7,Horário de início 7,Время запуска 7,Başlangıç Zamanı 7,启动时间 7,
Start Time 8,Startovací čas  8,Startzeit 8,Hora de arranque 8,Heure de début 8,Orario di partenza 8,Czas startu 8,Horário de início 8,Время запуска 8,Başlangıç Zamanı 8,启动时间 8,
Start Time 9,Startovací čas  9,Startzeit 9,Hora de arranque 9,Heure de début 9,Orario di partenza 9,Czas startu 9,Horário de início 9,Время запуска 9,Başlangıç Zamanı 9,启动时间 9,
Start Time 10,Startovací čas  10,Startzeit 10,Hora de arranque 10,Heure de début 10,Orario di partenza 10,Czas startu 10,Horário de início 10,Время запуска 10,Başlangıç Zamanı 10,启动时间 10,
OFF,vyp,aus,OFF,OFF,OFF,WYŁ.,desl.,ВЫКЛ,OFF,关闭,
Order,Poř.,Ord.,Orden,Ordre,Ordine,Kolej.,Ordem,Заказ,Sıra,顺序+D274:K274,
Run Type,Typ spuštění,Ausführung,Tipo de riego,Type course,Tipo esec.,Typ pracy,Tipo de rega,Тип запуска,Çalışma Türü,运行类型,
 ID, ID,ID,DI,ID,ID,ID,ID,ID,ID,ID,
 Run Time,Zavl. Čas,Bew. Zeit,Riego tpo,Temps irr,Tempo irr,Naw. Czas,Tempo irr,Орош. Вр,Sulama sü,运行时间,
 Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT, Adj. RT,
Station,Stanice,Station,Estac.,Station,Staz.,Sekcja,Setor,Станция,İstas.,站点,
Block,Blok,Block,Bloque,Bloc,Blocco,Blok,bloco,Блок,blok,站点组,
Delay,Zpož,Verzö,Retra,Retar,Ritar,Opóźn,Atras,Задер,Gecik,延迟,
Start Time  OFF,Startovací čas VYPNUTO,Startzeit AUS,Hora de arranque DESACTIVADA,Heure de début désactivée,Orario di partenza OFF,Czas startu WYŁ,Horário de início DESLIGADO,Время запуска ВЫКЛ.,Başlangıç Zamanı KAPALI,启动时间关闭,
Block Settings,Nastavení bloku,Block Einstellungen,Configuración del bloque,Paramètres de blocs,Impostazioni blocco,Ustawienia bloku,Configurações do bloco,Настройки блока,Blok Ayarları,站点组设置,
Stations Number,Počet stanic,Stationsnr.,Nº de estaciones,N° de stations,N° stazioni,Liczba stacji,Nº de estações,Кол-во станций,İstasyon no,站点数,
Block Number :,Číslo bloku  :,Block Nummer:,Número de bloque:,Numéro de bloc:,Blocco numero:,Numer bloku:,Número do bloco:,Номер блока:,Blok Numarası:,站点组编号:,
 Get, Získat,Abrufen,Obtener,Obtenir,Ottieni,Odbierz,Obter,Получить,Al,获取,
Cycle:,Cyklus:,Zyklus:,Ciclo:,Cycle:,Ciclo:,Cykl:,Ciclo:,Цикл:,Döngü:,循环:,
Min,Min,Min.,Min,Min,Min,Min,Mín,мин,Min.,分,
Soak:,Vsakování:,Sickern:,Infiltración:,Réessuyage:,Assorbimento:,Wsiąkanie:,Seca:,Выдержка:,Islatma:,入渗:,
Generate report,Vytvořit zprávu,Bericht erstellen,Generar informe,Générer le rapport,Generare il report,Wygeneruj raport,Gerar relatório,Составить отчет,Rapor oluştur,生成报告,
 Edit, Upravit,Bearbeiten,Editar,Modifier,Modifica,Edytuj,Editar,Редактировать,Düzenle,编辑,
Number  ,Číslo  ,Nummer,Número,Nombre,Numero,Liczba,Número,Количество,Sayı,数量,
Flow Totals,Celkové průtoky,Flowergebnisse,Totales de caudal,Volume des débits,Totali di flusso,Całkowity przepływ,Total de vazão,Общий расход,Debi Toplamı,总流量,
Daily ,Denně ,Täglich,Diariamente,Tous les jours,Ogni giorno,Codziennie,Diário,Каждый день,Günlük,每日,
Weekly ,týdně ,wöchentlich,semanal,hebdomadaire,settimanale,co tydzień,semanal,Еженедельно,haftalık,每周,
Monthly,měsíčně,monatlich,mensual,mensuel,mensile,co miesiąc,mensal,Ежемесячно,aylık,每月,
 Yearly, ročně,jährlich,anual,annuel,annuale,co rok,anual,Ежегодно,yıllık,每年,
Controller,Ovládací jednotka,Steuergerät,Programador,Programmateur,Programmatore,Sterownik,Controlador,Контроллер,Kontrol Ünitesi,控制器,
 Flow sensor , Senzor průtoku ,Flowsensor,Sensor de caudal,Sonde de débit,Sensore di flusso,Czujnik przepływu,Sensor de vazão,Датчик расхода,Debi sensörü,流量传感器,
Open report,Otevřít zprávu,Bericht öffnen,Abrir informe,Ouvrir le rapport,Aprire il report,Otwórz raport,Relatório aberto,Открыть отчет,Raporu aç,打开报告,
Flow Totals,Celkové průtoky,Flowergebnisse,Totales de caudal,Volume des débits,Totali di flusso,Całkowity przepływ,Total de vazão,Общий расход,Debi Toplamı,总流量,
Gallons,galon,Gallone,galones,gallon,galloni,galon,galão,в галлонах,galon,加仑,
Time Stamp,Časový údaj,Zeitstempel,Marca de hora,Horodatage,Timestamp,Znacznik czasu,Carimbo de data e hora,Временная метка,Zaman Damgası,时间戳,
Over ,Přes ,Über,Más de,Plus de,Oltre,Powyżej,Acima de,Превышение,Üzerinde,超过,
Normal,Normální,Normal,Normal,Normal,Normale,Normalny,Normal,Нормальный,Normal,正常,
Jan  ,Led  ,Jan,Ene,Jan,Gen,Sty,Jan,Янв,Oca,一月,
Feb ,Úno ,Feb,Feb,Fév,Feb,Lut,Fev,Фев,Şub,二月,
Mar  ,Bře  ,März,Mar,Mar,Mar,Mar,Mar,Мар,Mar,三月,
Apr ,Dub ,Apr,Abr,Avr,Apr,Kwi,Abr,Апр,Nis,四月,
May  ,Kvě  ,Mai,May,Mai,Maggio,Maj,Mai,Май,May,五月,
June,Čen ,Juni,Jun,Jun,Giugno,Cze,Jun,Июн,Haz,六月,
July,Čec  ,Juli,Jul,Jul,Lug,Lip,Jul,Июл,Tem,七月,
Aug ,Srp ,Aug,Ago,Aoû,Ago,Sie,Ago,Авг,Ağu,八月,
Sep  ,Zář  ,Sep,Sep,Sep,Set,Wrz,Set,Сен,Eyl,九月,
Oct ,Říj ,Okt,Oct,Oct,Ott,Paź,Out,Окт,Eki,十月,
Nov  ,Lis  ,Nov,Nov,Nov,Nov,Lis,Nov,Ноя,Kas,十一月,
Dec  ,Pro  ,Dez,Dic,Déc,Dic,Gru,Dez,Дек,Ara,十二月,
Flow Settings,Nastavení průtoku,Flow Einstellungen,Configuración del caudal,Paramètres de débit,Impostazioni portata,Ustawienia przepływu,Configurações de vazão,Настройки расхода,Debi Ayarları,流量设置,
Flow Operation,Průtok op.,Flussbetr.,Op. flujo,Opér. débit,Op. flusso,Oper. przep.,Op. fluxo,Опер. поток,Akış işl,流量操作,
Flow Zones  ,Průtokové sekce  ,Flowzonen,Zonas de caudal,Zones de débit,Zone di flusso,Strefy przepływu,Setores de vazão,Зоны расхода,Debi Bölgeleri,流量分区,
Learn Flow,Uč. průtok,Lern Fluss,Apr. flujo,Appr. débit,Appr. flusso,Ucz. przepływ,Aprend. fluxo,Изуч. поток,Akış öğren.,学习流量,
Flow Manager ,Správce průtoku ,Flowmanager,Gestor de caudal,Gestionnaire de débit,Manager flusso,Zarządzanie przepływem,Gerente de vazão,Менеджер расхода,Debi Yöneticisi,流量管理器,
Flow Monitor ,Monitor průtoku ,Flowmonitor,Supervisión de caudal,Surveillance du débit,Monitoraggio flusso,Monitorowanie przepływu,Monitoramento de vazão,Контроль расхода,Debi İzleme,流量监测器,
Disabled,Zakázáno,Deakt.,Deshab.,désactivé,Disatt.,Wył.,Desat.,Откл.,Devre d.,已禁用,
Enabled,Povoleno,Aktiviert,Habilitar,Activé,Abilitato,Aktywny,Ativado,Включено,Etkin,已开启,
Mainsafe ,Mainsafe ,MainSafe,MainSafe,MainSafe,MainSafe,Zabezpieczenie główne,MainSafe,MainSafe,MainSafe,MainSafe,
Apply,Použití ,Anwd.,Apl.,Appl.,Appl.,Zast.,Apl.,Прим.,Uygula,应用,
Select,Vybrat,Auswahl,Seleccionar,Sélectionner,Seleziona,Wybierz,Selecionar,Выбрать,Seç,选择,
Select Flow Zone,Vybrat Zónu Proudu,Strömungszone Auswählen,Seleccionar Zona de Flujo,Sélectionner Zone de Flux,Selezionare Zona di Flusso,Wybierz Strefę Przepływu,Selecionar Zona de Fluxo,Выбрать Зону Потока,Akış Bölgesi Seç,选择流量区域,
 Flow Zone, Průtoková sekce,Flowzone,Zona de caudal,Zone de débit,Zona di flusso,Strefa przepływu,Setor de vazão,Зона расхода,Debi Bölgesi,流量分区,
Current Flow,Aktuální průtok  ,Aktueller Durchfluss,Caudal actual,Débit actuel,Flusso corrente,Bieżący przepływ,Vazão atual,Текущее значение расхода,Anlık Debi,当前流量,
(GPM),(GPM),(GPM),(GPM),(GPM),(GPM),(galon/min),(GPM),гал/мин,(G/dak),(GPM),
FS ,FS ,FS,FS,FS,FS,FS,FS,Защитный фильтр Sentry,AD,FS,
Zone Status,Stav sekce,Zonenstatus,Estado de las zonas,État de la zone,Stato zona,Status strefy,Status do setor,Статус зоны,Bölge Durumu,区域状态,
Avg Flow ,Průměrný průtok ,Durchschn. Durchfluss,Caudal medio,Débit moyen,Portata media,Średni przepływ,Vazão média,Сред. расход,Ort. Debi,平均流量,
Not yet Valid,Zatím neplatné,Noch nicht gültig,Aún no es válido,Pas encore valide,Non ancora valido,Nadal nieprawidłowy,Ainda não é válido,Еще не проверено,Henüz Geçerli Değil,尚未生效,
Alarm Active,Aktivní alarm,Alarm aktiv,Alarma activa,Alarme active,Allarme attivo,Alarm aktywny,Alarme ativo,Авария актив,Alarm açık,报警激活,
Active,blokuje zavlažování,aktiv,activo,Active,Attivo,Aktywny,Ativo,активен,etkin,激活+A340:K340,
Station Active,Stanice,Station,Estac.,Station,Staz.,Sekcja,Setor,Станция,İstas.,站点,
Station Running,Stanice je spuštěná,Station in Betrieb,Estación en funcionamiento,Station active,Stazione in funzione,Uruchomiona sekcja,Estação em operação,"Зона, осуществляющая полив",İstasyon Çalışıyor,站点运行,
No MaxUnsch,Žádný MaxUnsch,Kein MaxUngepl,Sin MaxUnsch,Pas de maximum imprévu,No MaxUnsch,Brak MaxUnsch,Sem MaxUnsch,Нет незапл. макс.,MaksAyarlama yok,否 MaxUnsch,
 Flow Limits, Limity průtoku,Flow Limits,Límites de caudal,Limites des débits,Portata limiti,Limity przepływu,Limites de vazão,Предельные значения расхода,Debi Sınırları,流量限制,
Max. Flow Exceeded,Překr. Průtok,Max. Fluss übersch.,Flujo máx. Exedido,Débit max. dépassé,Flusso max super.,Przekr. Przepływ,Fluxo máx. exced.,Превышен поток,Maks. akış aştı,超过最大流量,
Unschedule Flow Exceeded,Překroč. tok,Fluss übersch.,Flujo excedido,Débit dépassé,Flusso ecceduto,Przekr. przepływ,Fluxo excedido,Превышен поток,Akış aşıldı,超出非计划流量,
Flow zone Alarm,Alarm průtoku,Flussalarm,Alarma flujo,Alarme débit,Allarme flusso,Alarm przepł.,Alarme fluxo,Авария потока,Akış alarmı,流量报警,
Alarm,Alarm,Alarm,Alarma,Alarme,Errore,Alarm,Alarme,Аварийный сигнал,Alarm,警报,
Flow Parameters,Parametry průtoku,Durchflussparameter,Parámetros de caudal,Paramètres de débit,Parametri di portata,Parametry przepływu,Parâmetros de vazão,Параметры расхода,Debi Parametreleri,流量参数,
Flow Target  ,Cíl průtoku  ,Flow Ziel,Objetivo de caudal,Objectif de débit,Flusso di destinazione,Przepływ docelowy,Alvo de Vazão,Целевой расход,Hedeflenen Debi,流量目标,
GPM,GPM,GPM,GPM,GPM,GPM,galon/min,GPM,Гал/мин,GPM,GPM,
Max Flow Limit ,Maximální limit průtoku ,Max. Durchflusslimit,Límite de caudal máximo,Limite de débit maximale,Limite massimo di portata,Maksymalny Limit Przepływu,Limite máximo de vazão,Макс. расход,Maks Debi Sınırı,最大流量限制,
Over Flow Limit  ,Překročen limit průtoku  ,Über Durchflusslimit,Límite de sobrecaudal,Dépassement,Oltre il limite di portata,Powyżej limitu przepływu,Limite de excesso de vazão,Верхний предел расхода,Aşırı Debi Sınırı,超过流量限制,
Under Flow Limit  ,Pod limit průtoku  ,Unter Durchflusslimit,Límite de caudal mínimo,Sous la limite de débit,Sotto il limite di portata,Poniżej limitu przepływu,Limite de vazão inferior,Нижний предел расхода,Düşük Debi Sınırı,低于流量限制,
